OBJECTID,DATE,Count_
541,2021/09/09 10:00:00+00,18
542,2021/09/10 10:00:00+00,14
543,2021/09/11 10:00:00+00,18
544,2021/09/12 10:00:00+00,16
545,2021/09/13 10:00:00+00,12
546,2021/09/14 10:00:00+00,15
547,2021/09/15 10:00:00+00,15
548,2021/09/16 10:00:00+00,11
549,2021/09/17 10:00:00+00,17
550,2021/09/18 10:00:00+00,14
551,2021/09/19 10:00:00+00,18
552,2021/09/20 10:00:00+00,22
553,2021/09/21 10:00:00+00,18
554,2021/09/22 10:00:00+00,14
555,2021/09/23 10:00:00+00,9
556,2021/09/24 10:00:00+00,14
557,2021/09/25 10:00:00+00,20
558,2021/09/26 10:00:00+00,8
559,2021/09/27 10:00:00+00,9
560,2021/09/28 10:00:00+00,9
561,2021/09/29 10:00:00+00,11
562,2021/09/30 10:00:00+00,19
563,2021/10/01 10:00:00+00,15
564,2021/10/02 10:00:00+00,12
565,2021/10/03 10:00:00+00,13
566,2021/10/04 10:00:00+00,19
567,2021/10/05 10:00:00+00,19
568,2021/10/06 10:00:00+00,15
569,2021/10/07 10:00:00+00,17
570,2021/10/08 10:00:00+00,19
571,2021/10/09 10:00:00+00,12
572,2021/10/10 10:00:00+00,22
573,2021/10/11 10:00:00+00,16
574,2021/10/12 10:00:00+00,16
575,2021/10/13 10:00:00+00,16
576,2021/10/14 10:00:00+00,14
577,2021/10/15 10:00:00+00,15
578,2021/10/16 10:00:00+00,12
579,2021/10/17 10:00:00+00,12
580,2021/10/18 10:00:00+00,15
581,2021/10/19 10:00:00+00,19
582,2021/10/20 10:00:00+00,11
583,2021/10/21 10:00:00+00,17
584,2021/10/22 10:00:00+00,8
585,2021/10/23 10:00:00+00,11
586,2021/10/24 10:00:00+00,7
587,2021/10/25 10:00:00+00,18
588,2021/10/26 10:00:00+00,12
589,2021/10/27 10:00:00+00,18
590,2021/10/28 10:00:00+00,10
591,2021/10/29 10:00:00+00,16
592,2021/10/30 10:00:00+00,10
593,2021/10/31 10:00:00+00,13
594,2021/11/01 10:00:00+00,13
595,2021/11/02 10:00:00+00,10
596,2021/11/03 10:00:00+00,12
597,2021/11/04 10:00:00+00,13
598,2021/11/05 10:00:00+00,7
599,2021/11/06 10:00:00+00,19
600,2021/11/07 10:00:00+00,10
601,2021/11/08 10:00:00+00,13
602,2021/11/09 10:00:00+00,3
603,2021/11/10 10:00:00+00,4
604,2021/11/11 10:00:00+00,13
605,2021/11/12 10:00:00+00,19
606,2021/11/13 10:00:00+00,7
607,2021/11/14 10:00:00+00,8
608,2021/11/15 10:00:00+00,10
609,2021/11/16 10:00:00+00,12
610,2021/11/17 10:00:00+00,8
611,2021/11/18 10:00:00+00,12
